timestamp,roll,pitch,yaw,altitude,roll_setpoint,pitch_setpoint,yaw_setpoint
1733388380171029,1.348824584091643e-05,2.8278269770847776e-06,2.878346096153619e-06,0.8055279850959778,0.0,0.0,0.0
1733388380246619,1.2348711020768617e-05,2.5888075418156303e-06,2.8783463426568044e-06,0.820953905582428,0.0,0.0,0.0
1733388380302542,1.0595709613125062e-05,2.2211659859701985e-06,2.878346642512838e-06,0.8224815726280212,0.0,0.0,0.0
1733388380349106,9.160717972297177e-06,1.9202488887147075e-06,2.8783468517496575e-06,0.8185831904411316,0.0,0.0,0.0
1733388380395144,7.66821416643211e-06,1.607293260391255e-06,2.878347051686064e-06,0.8168908357620239,0.0,0.0,0.0
1733388380439020,5.5550458160306375e-06,1.1642246135434252e-06,2.878347320923589e-06,0.8215026259422302,0.0,0.0,0.0
1733388380511410,4.027823011458582e-06,8.440315819554152e-07,2.8783475139159335e-06,0.8100156188011169,0.0,0.0,0.0
1733388380596466,2.1138897154301173e-06,4.427853561065218e-07,2.8783477628945408e-06,0.8106763958930969,0.0,0.0,0.0
1733388380669208,7.82970444910639e-07,1.6378141626005603e-07,2.878347946110434e-06,0.8186420202255249,0.0,0.0,0.0
1733388380742439,-4.592255517500812e-07,-9.660909908273375e-08,2.8783481297804494e-06,0.8199597597122192,0.0,0.0,0.0
1733388380786938,-1.4857262961591494e-06,-3.1177250383049984e-07,2.8783482959066056e-06,0.8271556496620178,0.0,0.0,0.0
1733388380867135,-2.6278357464432133e-06,-5.511492624169719e-07,2.878348506496229e-06,0.8022975921630859,0.0,0.0,0.0
1733388380933123,-3.2867301068359287e-06,-6.892335688936981e-07,2.8783486502803308e-06,0.8152783513069153,0.0,0.0,0.0
1733388380990698,-3.8319228613572915e-06,-8.034744168331335e-07,2.8783487949464515e-06,0.8175875544548035,0.0,0.0,0.0
1733388381063439,-4.297289707101157e-06,-9.009621872885894e-07,2.87834896721122e-06,0.8071144819259644,0.0,0.0,0.0
1733388381131028,-4.478305009387204e-06,-9.388563696774915e-07,2.878349085719633e-06,0.8319013714790344,0.0,0.0,0.0
1733388381188245,-4.51161619085114e-06,-9.457688174294612e-07,2.8783492334377727e-06,0.8263019919395447,0.0,0.0,0.0
1733388381228992,-4.400774981803714e-06,-9.224853082435078e-07,2.878349328668931e-06,0.8225656151771545,0.0,0.0,0.0
1733388381294308,-4.0913755400074786e-06,-8.57564778495223e-07,2.878349448792129e-06,0.8163846731185913,0.0,0.0,0.0
1733388381347271,-3.7596647335446524e-06,-7.879872967847648e-07,2.8783495313750664e-06,0.8237826228141785,0.0,0.0,0.0
1733388381404829,-3.3601109049210225e-06,-7.04192871886937e-07,2.8783496084270876e-06,0.8166359066963196,0.0,0.0,0.0
1733388381466594,-2.700997678573615e-06,-5.659811069815331e-07,2.8783497107295886e-06,0.8197534084320068,0.0,0.0,0.0
1733388381521613,-2.202544099219046e-06,-4.6146823997521347e-07,2.878349777331536e-06,0.8174142837524414,0.0,0.0,0.0
1733388381590029,-1.6893813768192588e-06,-3.5387789910864017e-07,2.8783498406087134e-06,0.8019964694976807,0.0,0.0,0.0
1733388381646118,-9.553789971315113e-07,-1.9999629886655328e-07,2.878349926246181e-06,0.8308764100074768,0.0,0.0,0.0
1733388381710030,-3.973416020353436e-07,-8.301307651663266e-08,2.8783499901480583e-06,0.8161498308181763,0.0,0.0,0.0
1733388381765844,5.049543203725788e-08,1.0863301041437796e-08,2.8783500421406457e-06,0.8192232251167297,0.0,0.0,0.0
1733388381832344,5.18088155289839e-07,1.0887521386364445e-07,2.8783500985370624e-06,0.8125137686729431,0.0,0.0,0.0
1733388381892628,9.087424718584613e-07,1.907545680293327e-07,2.878350148818027e-06,0.8217226266860962,0.0,0.0,0.0
1733388381968669,1.3339958564656187e-06,2.798775942221866e-07,2.8783502097712357e-06,0.8259398937225342,0.0,0.0,0.0
1733388382026290,1.590422080726533e-06,3.336119309244896e-07,2.878350252539456e-06,0.8310046195983887,0.0,0.0,0.0
1733388382110341,1.8513842716125064e-06,3.882866074756252e-07,2.878350306883057e-06,0.8110684752464294,0.0,0.0,0.0
1733388382206391,1.980523586068975e-06,4.1533329971291386e-07,2.8783503448597072e-06,0.8141265511512756,0.0,0.0,0.0
1733388382278511,2.051477439768256e-06,4.3018285972601227e-07,2.8783503791331556e-06,0.8186025619506836,0.0,0.0,0.0
1733388382430062,2.0264704877537778e-06,4.24883871071045e-07,2.8783504511910968e-06,0.8162184953689575,0.0,0.0,0.0
1733388382509947,1.944989979732776e-06,4.077807890024401e-07,2.878350478170658e-06,0.812617838382721,0.0,0.0,0.0
1733388382610515,1.7787137048695087e-06,3.7289637309127916e-07,2.8783505121387083e-06,0.8248888254165649,0.0,0.0,0.0
1733388382664420,1.624391769829274e-06,3.405277143958448e-07,2.878350535096433e-06,0.8372250199317932,0.0,0.0,0.0
1733388382740931,1.4057253950647345e-06,2.946692965999205e-07,2.8783505614725067e-06,0.8085108995437622,0.0,0.0,0.0
1733388382821042,1.1926269159759206e-06,2.4998315719505785e-07,2.8783505833992124e-06,0.8206055164337158,0.0,0.0,0.0
1733388382918847,9.225009700940421e-07,1.9334320339449446e-07,2.8783506082025906e-06,0.8223826885223389,0.0,0.0,0.0
1733388382988693,7.251347791428622e-07,1.5196222768805354e-07,2.8783506250951178e-06,0.8281741142272949,0.0,0.0,0.0
1733388383048335,5.247705849511262e-07,1.0995480568095699e-07,2.8783506416901678e-06,0.8198044896125793,0.0,0.0,0.0
