timestamp_sec,timestamp_nanosec,orientation_x,orientation_y,orientation_z,orientation_w,angular_velocity_x,angular_velocity_y,angular_velocity_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z
0,167000000,-5.639070017786935e-06,-6.13809782908724e-06,7.238856523659435e-10,0.9999999999652625,-0.006215655826985661,0.009662281613324122,1.259240771542391e-07,0.00012054557684959446,-0.00011046623236922969,9.803484127815395
0,177000000,-9.148237119742626e-06,-8.17558512669721e-06,1.2150339289159252e-09,0.9999999999247348,-0.005405894989530155,0.008041668650730267,2.5395895526590614e-07,0.00014743847047636648,-0.00016082380422288286,8.898379921394762
0,187000000,-5.135726395826355e-06,-5.312879238870885e-07,9.871135306096978e-10,0.9999999999866711,-0.012350230091837963,-0.0011118319399311515,-3.4053398659362945e-10,5.922340892521697e-06,-0.00011074835920348134,10.46567542584912
0,197000000,7.539109537228832e-06,-2.4072401449235326e-07,1.1145715176025193e-09,0.9999999999715521,0.015556116866114179,-0.0023124407170496577,7.883031328699867e-08,5.1877018591269605e-06,0.00014681928673444377,9.835814069638417
0,207000000,-3.671739094692263e-06,2.236957596091113e-06,1.140206478979575e-09,0.9999999999907572,-0.011161100629316594,0.005491545166516672,3.168654134780215e-08,-4.424368022950205e-05,-6.935072833706615e-05,9.742286672368204
0,217000000,-2.661710494007227e-06,-6.732230766995995e-06,1.1712331962966643e-09,0.9999999999737963,-0.0009745205450013283,-0.017813519616976012,-4.6324376728161123e-08,0.00013247659320231292,-5.4152311932782616e-05,9.921522685156603
0,227000000,-1.6694166074383587e-06,-2.1769326348889894e-07,1.1786126586841035e-09,0.9999999999985829,0.009993368773868532,-0.0018145980383830692,-3.974827826904177e-08,5.01199225275554e-06,-3.5431222129780925e-05,10.12162965461299
0,237000000,2.520596917215516e-06,-2.7660002741441025e-07,1.224117496041576e-09,0.999999999996785,-0.010227138277305422,-0.0021327011105806686,5.900832954213665e-08,5.356742966578537e-06,5.357059784809909e-05,9.853500061618345
0,247000000,-1.5434342233862018e-06,-2.0126069040540106e-07,1.227802300735055e-09,0.9999999999987887,0.009661888697883883,-0.0017213734763051674,-3.6336885824495375e-08,4.071844913461917e-06,-3.380297218648121e-05,9.734345248555288
0,257000000,2.5134862564568733e-06,-2.758134736631371e-07,1.273406108845964e-09,0.9999999999968032,-0.010213256040889246,-0.0021282204333584074,5.878270550114007e-08,5.291246471254245e-06,5.333907987739972e-05,9.86503757848185
0,267000000,-1.5432191569246808e-06,-2.0123263818998692e-07,1.277043900290794e-09,0.9999999999987892,0.009661754855920903,-0.0017212590289396724,-3.633366014959667e-08,4.068605292130927e-06,-3.379402219868954e-05,9.734948003428151
0,277000000,2.5134887386880476e-06,-2.7581374801951037e-07,1.3226506856914606e-09,0.9999999999968032,-0.010213270535722177,-0.002128222995527354,5.878286117309225e-08,5.291205250416649e-06,5.3339107103921556e-05,9.865052353222804
0,287000000,-1.5432196662816688e-06,-2.012327047000849e-07,1.3262884290259196e-09,0.9999999999987892,0.009661755824144767,-0.0017212593673751975,-3.633367150757135e-08,4.068608416375565e-06,-3.3794037022782506e-05,9.73494769026604
0,297000000,2.51348876032004e-06,-2.7581375029157333e-07,1.3718952113133167e-09,0.9999999999968032,-0.010213270566841943,-0.002128223008018765,5.878286177034903e-08,5.291205461442151e-06,5.333910778352594e-05,9.865052311244584
0,307000000,-1.5432196664287705e-06,-2.0123270480049463e-07,1.3755329548649135e-09,0.9999999999987892,0.009661755823485857,-0.0017212593673706358,-3.6333671505666186e-08,4.068608424017463e-06,-3.379403703657724e-05,9.734947688551225
0,317000000,2.5134887603044106e-06,-2.758137501662802e-07,1.4211397371453393e-09,0.9999999999968032,-0.01021327056673855,-0.00212822300800461,5.878286176895362e-08,5.291205461382347e-06,5.333910778271855e-05,9.865052311241389
0,327000000,-1.5432196664398183e-06,-2.0123270487956536e-07,1.4247774806962287e-09,0.9999999999987892,0.009661755823484648,-0.0017212593674009481,-3.6333671506263e-08,4.068608424053089e-06,-3.379403703694836e-05,9.734947688555241
0,337000000,2.513488760317536e-06,-2.7581375005223486e-07,1.470384262975564e-09,0.9999999999968032,-0.010213270566684021,-0.0021282230080159046,5.878286176837293e-08,5.291205461587361e-06,5.333910778269506e-05,9.86505231124113
0,347000000,-1.54321966644554e-06,-2.0123270495418102e-07,1.4740220065275588e-09,0.9999999999987892,0.009661755823493434,-0.0017212593673998045,-3.633367150641835e-08,4.068608424020918e-06,-3.379403703725401e-05,9.734947688557138
0,357000000,2.513488760290682e-06,-2.758137499132214e-07,1.5196287888063106e-09,0.9999999999968032,-0.010213270566723933,-0.002128223007975356,5.87828617680802e-08,5.2912054612877876e-06,5.3339107781885134e-05,9.865052311236946
0,367000000,-1.5432196663875852e-06,-2.0123270501667999e-07,1.5232665323570215e-09,0.9999999999987892,0.009661755823456212,-0.001721259367344323,-3.6333671505273646e-08,4.0686084237770876e-06,-3.379403703628163e-05,9.734947688555131
0,377000000,2.5134887603389432e-06,-2.758137497877091e-07,1.5688733146368751e-09,0.9999999999968032,-0.010213270566738679,-0.002128223008004602,5.878286176848464e-08,5.291205461224992e-06,5.333910778258449e-05,9.865052311243346
0,387000000,-1.543219666374635e-06,-2.0123270509872296e-07,1.5725110581876408e-09,0.9999999999987892,0.009661755823492667,-0.0017212593673697435,-3.6333671505953165e-08,4.068608423894631e-06,-3.379403703624574e-05,9.734947688554133
