timestamp_sec,timestamp_nanosec,roll,pitch,yaw
6,229000000,-0.0001768399475321055,-2.3059569126099916e-05,1.2614322176064176e-06
6,239000000,0.0002880245955936884,-3.16059280408016e-05,1.2665433427590664e-06
6,249000000,-0.00017683994752461108,-2.3059569125065533e-05,1.2670752245833887e-06
6,259000000,0.00028802459559117133,-3.1605928041417856e-05,1.2721863497361313e-06
6,269000000,-0.00017683994753001225,-2.3059569126854795e-05,1.272718231560366e-06
6,279000000,0.0002880245955945945,-3.160592804167289e-05,1.2778293567130457e-06
6,289000000,-0.00017683994752670486,-2.3059569125890018e-05,1.2783612385373125e-06
6,299000000,0.00028802459558630126,-3.160592804045506e-05,1.2834723636899906e-06
6,309000000,0.0008732018438791765,9.03322808978869e-05,1.2847066216441628e-06
6,319000000,0.0002880245955920804,-3.160592804216852e-05,1.2891153706666464e-06
6,329000000,-0.00017683994753016648,-2.305956912619433e-05,1.289647252490879e-06
6,339000000,0.00028802459559107755,-3.160592804026399e-05,1.2947583776435021e-06
6,349000000,0.0008732018438741516,9.033228089670993e-05,1.2959926355976089e-06
6,359000000,0.00028802459558922736,-3.160592804062261e-05,1.3004013846200076e-06
6,369000000,-0.00017683994752740282,-2.305956912570285e-05,1.3009332664440419e-06
6,379000000,0.0002880245955913361,-3.1605928041644265e-05,1.3060443915965825e-06
6,389000000,-0.00017683994753038015,-2.3059569127269997e-05,1.3065762734206327e-06
6,399000000,0.00028802459559165055,-3.16059280397495e-05,1.3116873985731051e-06
6,409000000,-0.00017683994752972792,-2.305956912746188e-05,1.3122192803971538e-06
6,419000000,0.00028802459558997345,-3.160592804135577e-05,1.3173304055496354e-06
6,429000000,-0.00017683994752501456,-2.3059569125578385e-05,1.3178622873735951e-06
6,439000000,0.00028802459559502963,-3.1605928041554195e-05,1.3229734125261866e-06
6,449000000,-0.00017683994752932454,-2.3059569126823628e-05,1.3235052943502096e-06
6,459000000,-0.0007304177674021325,7.556124693954805e-05,1.3281959599924002e-06
6,469000000,-0.00017683994752698903,-2.305956912708584e-05,1.3291483013265726e-06
6,479000000,0.00028802459559269865,-3.1605928041918195e-05,1.3342594264789991e-06
6,489000000,-0.00017683994752616937,-2.3059569126616556e-05,1.3347913083029383e-06
6,499000000,0.00028802459559072876,-3.1605928041400895e-05,1.3399024334553032e-06
6,509000000,0.0008732018438825678,9.033228089699412e-05,1.3411366914092386e-06
6,519000000,-0.0007304177674063506,7.556124693916313e-05,1.3451249809212422e-06
6,529000000,0.0008732018438783085,9.033228089784294e-05,1.346779698385398e-06
6,539000000,0.0002880245955909033,-3.160592804137189e-05,1.3511884474075753e-06
6,549000000,-0.00017683994752886828,-2.3059569126605385e-05,1.3517203292313364e-06
6,559000000,0.00028802459559305784,-3.160592804197203e-05,1.3568314543836202e-06
6,569000000,-0.00017683994752684345,-2.3059569126934698e-05,1.3573633362073862e-06
6,579000000,-0.0007304177674031731,7.556124693953755e-05,1.3620540018493874e-06
6,589000000,0.0008732018438773403,9.033228089756927e-05,1.3637087193135453e-06
6,599000000,0.0002880245955940309,-3.16059280401439e-05,1.3681174683355933e-06
6,610000000,0.0008732018438757593,9.033228089809232e-05,1.3693517262895036e-06
6,620000000,-0.0007304177674051392,7.556124694025224e-05,1.3733400158013286e-06
6,630000000,0.0002880245955942907,-3.160592804007403e-05,1.377146279496981e-06
6,640000000,-0.0007304177674058818,7.556124693984938e-05,1.3789830227770317e-06
6,650000000,0.0008732018438734386,9.033228089724207e-05,1.3806377402410061e-06
6,660000000,-0.0007304177674081603,7.55612469403126e-05,1.384626029752755e-06
6,670000000,0.0008732018438806976,9.033228089839942e-05,1.3862807472166855e-06
6,680000000,-0.0007304177674018439,7.556124693965526e-05,1.390269036728538e-06
6,690000000,0.0008732018438752939,9.03322808971842e-05,1.3919237541924992e-06
6,700000000,-0.000730417767400949,7.556124693987974e-05,1.3959120437043746e-06
6,710000000,0.0008732018438728185,9.033228089682883e-05,1.3975667611682978e-06
6,720000000,-0.0007304177673991167,7.556124693805142e-05,1.4015550506799742e-06
6,730000000,0.0008732018438777592,9.033228089780171e-05,1.4032097681438862e-06
6,740000000,-0.000730417767404825,7.556124693975055e-05,1.4071980576555795e-06
6,750000000,0.0008732018438774987,9.033228089786399e-05,1.4088527751194637e-06
6,761000000,-0.00017683994752898199,-2.3059569126575352e-05,1.4115362031746807e-06
6,771000000,0.00028802459559387213,-3.1605928041627236e-05,1.4166473283266545e-06
6,781000000,-0.00017683994753031924,-2.3059569126693785e-05,1.4171792101502e-06
6,791000000,0.00028802459559096804,-3.160592804171438e-05,1.42229033530202e-06
6,801000000,-0.00017683994752676035,-2.3059569126167418e-05,1.4228222171254924e-06
6,811000000,0.000288024595592378,-3.160592804136789e-05,1.427933342277493e-06
6,821000000,-0.00017683994752973233,-2.305956912666231e-05,1.4284652241008744e-06
6,831000000,0.0002880245955926981,-3.1605928041134974e-05,1.4335763492526619e-06
6,841000000,-0.00017683994753059506,-2.3059569127071226e-05,1.4341082310760825e-06
6,851000000,0.00028802459558996944,-3.160592804172552e-05,1.4392193562278542e-06
6,861000000,-0.0001768399475293184,-2.3059569127085415e-05,1.4397512380511929e-06
6,871000000,0.0002880245955963388,-3.160592804145365e-05,1.4448623632029648e-06
6,881000000,-0.00017683994752908442,-2.3059569126105923e-05,1.4453942450263632e-06
6,891000000,-0.0007304177674049096,7.55612469402697e-05,1.4500849106679246e-06
6,901000000,-0.00017683994753034282,-2.3059569126945313e-05,1.451037252001431e-06
