timestamp,roll,pitch,yaw,altitude,roll_setpoint,pitch_setpoint,yaw_setpoint,alt_setpoint
1733470848954259,-5.478437947005722e-20,9.815466651207431e-21,-2.0056399376028883e-07,0.9996833205223083,0.0,0.0,0.0,0.8
1733470849000098,-6.774953015692784e-20,1.2138226980144094e-20,-2.0056399376028883e-07,0.9993737936019897,0.0,0.0,0.0,0.8
1733470849057133,-8.963784628053257e-20,1.6058987756655412e-20,-2.0056399376028883e-07,1.005049705505371,0.0,0.0,0.0,0.8
1733470849116116,-1.1024840979549794e-19,1.9750477822944522e-20,-2.0056399376028883e-07,1.0034427642822266,0.0,0.0,0.0,0.8
1733470849199019,-1.3241248816927007e-19,2.371995753884949e-20,-2.0056399376028883e-07,1.0065503120422363,0.0,0.0,0.0,0.8
1733470849259518,-1.6755702789731545e-19,3.001382313859694e-20,-2.0056399376028883e-07,1.001880407333374,0.0,0.0,0.0,0.8
1733470849317771,-1.9739519138951514e-19,3.5357162354507023e-20,-2.0056399376028883e-07,0.992946445941925,0.0,0.0,0.0,0.8
1733470849380956,-2.411894170197192e-19,4.3199478851462766e-20,-2.0056399376028883e-07,0.9920851588249207,0.0,0.0,0.0,0.8
1733470849436828,-2.756693044823218e-19,4.937382983932944e-20,-2.0056399376028883e-07,0.9988950490951538,0.0,0.0,0.0,0.8
1733470849501674,-3.1459820968362137e-19,5.634487127752742e-20,-2.0056399376028883e-07,1.0110876560211182,0.0,0.0,0.0,0.8
1733470849558649,-3.4685358828025923e-19,6.21208770408339e-20,-2.0056399376028883e-07,0.9937379360198975,0.0,0.0,0.0,0.8
1733470849620172,-3.946805289601598e-19,7.068529937991034e-20,-2.0056399376028883e-07,1.0094969272613525,0.0,0.0,0.0,0.8
1733470849661566,-4.280000416270157e-19,7.665185625023241e-20,-2.0056399376028883e-07,0.9950716495513916,0.0,0.0,0.0,0.8
1733470849743045,-4.740999901865023e-19,8.490696623777044e-20,-2.0056399376028883e-07,0.9957109689712524,0.0,0.0,0.0,0.8
1733470849799270,-5.055180744006859e-19,9.053295779688593e-20,-2.0056399376028883e-07,0.9960532784461975,0.0,0.0,0.0,0.8
1733470849859631,-5.387299901993956e-19,9.648013210223589e-20,-2.0056399376028883e-07,1.0039809942245483,0.0,0.0,0.0,0.8
1733470849924200,-5.799653538041042e-19,1.03863991436082e-19,-2.0056399376028883e-07,1.0051333904266357,0.0,0.0,0.0,0.8
1733470849993950,-6.112698261041258e-19,1.094695227419474e-19,-2.0056399376028883e-07,1.0056746006011963,0.0,0.0,0.0,0.8
1733470850051533,-6.422133956518526e-19,1.1501039275268165e-19,-2.0056399376028883e-07,1.0087428092956543,0.0,0.0,0.0,0.8
1733470850118254,-6.738092691263986e-19,1.206680281476108e-19,-2.0056399376028883e-07,1.0009384155273438,0.0,0.0,0.0,0.8
1733470850186300,-7.150054793370346e-19,1.2804466269430852e-19,-2.0056399376028883e-07,1.006333827972412,0.0,0.0,0.0,0.8
1733470850247936,-7.457063139858897e-19,1.3354193807731237e-19,-2.0056399376028883e-07,0.9981073141098022,0.0,0.0,0.0,0.8
1733470850320606,-7.748664910574545e-19,1.387623414795624e-19,-2.0056399376028883e-07,1.0097360610961914,0.0,0.0,0.0,0.8
1733470850365588,-7.845547396844066e-19,1.404948879498957e-19,-2.0056399376028883e-07,1.008007526397705,0.0,0.0,0.0,0.8
1733470850421486,-7.828007900729288e-19,1.4017759795835293e-19,-2.0056399376028883e-07,1.0005470514297485,0.0,0.0,0.0,0.8
1733470850482116,-7.632233113937797e-19,1.3666579361032442e-19,-2.0056399376028883e-07,1.0023226737976074,0.0,0.0,0.0,0.8
1733470850550690,-7.35485021422449e-19,1.316929032990114e-19,-2.0056399376028883e-07,1.0118989944458008,0.0,0.0,0.0,0.8
1733470850967435,-1.7076165249795261e-19,3.049039226869585e-20,-2.0056399376028883e-07,1.0113803148269653,0.0,0.0,0.0,0.8
1733470850970285,-1.3105346692958067e-19,2.3375009047577693e-20,-2.0056399376028883e-07,0.999516487121582,0.0,0.0,0.0,0.8
1733470850972181,-9.010193079340213e-20,1.6036860393098427e-20,-2.0056399376028883e-07,1.002692699432373,0.0,0.0,0.0,0.8
1733470850973224,-9.010193079340213e-20,1.6036860393098427e-20,-2.0056399376028883e-07,1.0051791667938232,0.0,0.0,0.0,0.8
1733470850974290,-9.010193079340213e-20,1.6036860393098427e-20,-2.0056399376028883e-07,0.9925068020820618,0.0,0.0,0.0,0.8
1733470851020292,4.47493240871625e-20,-8.127074764797156e-21,-2.0056399376028883e-07,0.9974225163459778,0.0,0.0,0.0,0.8
1733470851078785,1.9824379569836322e-19,-3.56313347047641e-20,-2.0056399376028883e-07,1.001847267150879,0.0,0.0,0.0,0.8
1733470851145417,4.20406428501931e-19,-7.543928943816843e-20,-2.0056399376028883e-07,1.0113306045532227,0.0,0.0,0.0,0.8
1733470851204300,6.334814299965601e-19,-1.1361832035827778e-19,-2.0056399376028883e-07,1.012162685394287,0.0,0.0,0.0,0.8
1733470851260388,9.306891133361504e-19,-1.6687175349263965e-19,-2.0056399376028883e-07,0.9921607375144958,0.0,0.0,0.0,0.8
1733470851330010,1.187360833386028e-18,-2.1286159918465213e-19,-2.0056399376028883e-07,1.0060007572174072,0.0,0.0,0.0,0.8
1733470851387482,1.4782130861345016e-18,-2.649755194831933e-19,-2.0056399376028883e-07,1.013501524925232,0.0,0.0,0.0,0.8
1733470851441965,1.7951102264110065e-18,-3.21755783134324e-19,-2.0056399376028883e-07,1.015379786491394,0.0,0.0,0.0,0.8
