Time,Pitch (Sim),Pitch (Real),,,
14.24,-0.8748852437,1.25,,,
14.3,-0.4927406331,1.44,,,
14.35,0.3911667487,1.5,,,
14.41,0.6645475197,1.5,,,
14.46,0.7001803412,1.44,,,
14.52,0.5489131476,1.37,,,
14.57,-0.1871952197,1.31,,,
14.63,-0.6414292983,1.12,,,
14.68,-0.9264174538,0.81,,,
14.74,-0.9005868364,0.62,,,
14.79,-0.5868716596,0.44,,,
14.85,-0.01564830282,0.37,,,
14.9,1.060273827,0.31,,,
14.96,1.276755259,0.37,,,
15.34,-0.3268209808,0.88,,,
15.4,-0.779396985,0.37,,,
15.45,-0.8767772363,-0.13,,,
15.51,-0.9269221468,-0.56,,,
15.56,-1.498690235,-0.75,,,
15.62,-1.709707434,-0.62,,,
15.67,-1.701929575,-0.44,,,
15.73,-1.502913097,-0.13,,,
15.78,-0.7242309039,0.06,,,
15.84,-0.2185614618,0.25,,,
15.89,-0.02541451299,0.31,,,
15.95,-0.1777496936,0.25,,,
16,-0.545290257,0.31,,,
16.06,-1.060060483,0.44,,,
16.11,-1.561073118,0.62,,,
16.22,-1.536217165,0.69,,,
16.5,-0.3109664434,-0.62,,,
16.55,-0.1202304397,-1.19,,,
