Time,Roll (sim),Roll (real),,,
13.525,-0.6801684481,-1.14,,,
13.596,0.7994941208,-1.16,,,
13.664,0.953435072,-1.15,,,
13.759,-0.7176300388,-1.19,,,
13.847,0.4880566834,-1.12,,,
13.911,0.4638515694,-0.75,,,
13.999,-0.2972361211,-0.56,,,
14.063,0.9126625251,1.12,,,
14.147,0.1110220353,-1.05,,,
14.238,0.3344875325,-1.19,,,
14.309,0.6563326106,-0.25,,,
14.392,-0.9349840009,0.5,,,
14.472,-0.05608332823,1,,,
14.549,1.015347115,1.06,,,
14.635,-0.3480696227,0.69,,,
14.709,0.3546617928,-0.19,,,
14.784,1.324217957,-1.21,,,
14.843,-0.1204311743,-0.69,,,
14.948,0.4776717188,0.94,,,
15.03,0.4901524623,0.87,,,
15.094,-1.07320943,-1.37,,,
15.186,-0.26015499,-1.05,,,
15.254,0.06664026466,-0.19,,,
15.341,-0.7485780925,-0.5,,,
15.432,0.5764593581,-0.44,,,
15.502,-0.3955216546,-0.14,,,
15.612,-0.2938373028,-1.25,,,
15.675,0.5961562674,-0.13,,,
15.778,-0.3520204818,0.56,,,
15.87,0.6909755911,1.06,,,
15.94,0.007207462199,1.19,,,
16.128,-0.8367446775,0.81,,,
16.186,0.101776313,0,,,
16.26,0.80311679,-1.06,,,
16.333,0.6000481,-0.31,,,
16.478,-1.297353529,1.15,,,
16.558,-0.683397636,0.69,,,
